timestamp_iso8601,timestamp_epoch_ms,remote_ip,remote_port,payload
2025-10-24T08:54:38.141Z,1761296078141,10.0.0.191,3132,"344449,52841,4,EM,1,100,RS,RE,PS,MN
"
2025-10-24T08:54:38.149Z,1761296078149,10.0.0.191,3132,"344449,52841,4,EM,1,100,RS,RE,PS,MN
344458,52842,3,PI,1,100,6381,6387,6372
344458,52843,3,PR,1,100,7278,7278,7276
344458,52844,3,PG,1,100,1052,1062,1032
344430,52845,1,EA,1,100,0.030305
344430,52846,1,EL,1,100,26437.599609
344471,52847,3,AX,1,100,0.094,0.097,0.096
344471,52848,3,AY,1,100,-0.012,-0.012,-0.012
344471,52849,3,AZ,1,100,1.029,1.024,1.026
344471,52850,3,GX,1,100,0.458,0.488,0.427
344471,52851,3,GY,1,100,0.641,0.671,0.641
344471,52852,3,GZ,1,100,0.305,0.336,0.336
344471,52853,3,MX,1,100,-9,-8,-9
"
2025-10-24T08:54:38.151Z,1761296078151,10.0.0.191,3132,"344471,52854,3,MY,1,100,-17,-18,-17
344471,52855,3,MZ,1,100,115,116,117
"
2025-10-24T08:54:38.254Z,1761296078254,10.0.0.191,3132,"344564,52856,1,SF,1,100,0.0000
344578,52857,3,PI,1,100,6396,6391,6373
344578,52858,3,PR,1,100,7275,7280,7268
344578,52859,3,PG,1,100,1048,1036,1042
344564,52860,2,EA,1,100,0.030305,0.030306
344564,52861,2,EL,1,100,26437.800781,26437.199219
344490,52862,1,T1,1,100,31.985
344505,52863,1,TH,1,100,30.142
344551,52864,2,AX,1,100,0.097,0.096
344551,52865,2,AY,1,100,-0.013,-0.013
344551,52866,2,AZ,1,100,1.028,1.026
344551,52867,2,GX,1,100,0.458,0.488
344551,52868,2,GY,1,100,0.671,0.671
"
2025-10-24T08:54:38.255Z,1761296078255,10.0.0.191,3132,"344551,52869,2,GZ,1,100,0.305,0.336
344551,52870,2,MX,1,100,-9,-9
344551,52871,2,MY,1,100,-17,-18
344551,52872,2,MZ,1,100,115,116
"
2025-10-24T08:54:38.309Z,1761296078309,10.0.0.191,3132,"344650,52873,4,EM,1,100,RS,RE,PS,MN
"
2025-10-24T08:54:38.411Z,1761296078411,10.0.0.191,3132,"344650,52873,4,EM,1,100,RS,RE,PS,MN
344658,52874,2,PI,1,100,6392,6393
344658,52875,2,PR,1,100,7302,7290
344658,52876,2,PG,1,100,1035,1049
344630,52877,1,EA,1,100,0.030305
344630,52878,1,EL,1,100,26437.800781
344623,52879,1,T1,1,100,32.029
344638,52880,1,TH,1,100,30.142
344671,52881,3,AX,1,100,0.095,0.094,0.096
344671,52882,3,AY,1,100,-0.012,-0.012,-0.012
344671,52883,3,AZ,1,100,1.026,1.026,1.026
344671,52884,3,GX,1,100,0.427,0.488,0.427
344671,52885,3,GY,1,100,0.641,0.671,0.671
"
2025-10-24T08:54:38.413Z,1761296078413,10.0.0.191,3132,"344671,52886,3,GZ,1,100,0.336,0.305,0.336
344671,52887,3,MX,1,100,-9,-9,-9
344671,52888,3,MY,1,100,-18,-17,-17
344671,52889,3,MZ,1,100,117,117,116
"
2025-10-24T08:54:38.452Z,1761296078452,10.0.0.191,3132,"344778,52890,3,PI,1,100,6388,6390,6386
344778,52891,3,PR,1,100,7277,7282,7274
344778,52892,3,PG,1,100,1034,1035,1031
344764,52893,2,EA,1,100,0.030305,0.030305
344764,52894,2,EL,1,100,26438.000000,26437.800781
344757,52895,1,T1,1,100,32.048
344772,52896,1,TH,1,100,30.120
344764,52897,2,AX,1,100,0.095,0.097
344764,52898,2,AY,1,100,-0.012,-0.012
344764,52899,2,AZ,1,100,1.025,1.027
344764,52900,2,GX,1,100,0.427,0.458
344764,52901,2,GY,1,100,0.641,0.671
344764,52902,2,GZ,1,100,0.305,0.305
"
2025-10-24T08:54:38.454Z,1761296078454,10.0.0.191,3132,"344764,52903,2,MX,1,100,-9,-9
344764,52904,2,MY,1,100,-17,-16
344764,52905,2,MZ,1,100,116,116
"
